市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
sh,510050,2019-10-31 09:25:01,3.0070,112,5178655.0000,17222,S,3.0070,3.0060,3.0050,3.0040,3.0030,3.0080,3.0090,3.0100,3.0110,3.0120,2768,2950,3830,18160,4354,7830,3122,6639,584,1971
sh,510050,2019-10-31 09:30:01,3.0090,77,4671964.0000,15532,S,3.0080,3.0070,3.0060,3.0050,3.0040,3.0090,3.0100,3.0110,3.0120,3.0130,2,1943,15685,3599,322,3477,7064,5295,2573,1443
sh,510050,2019-10-31 09:30:04,3.0070,82,1812481.0000,6027,S,3.0060,3.0050,3.0040,3.0030,3.0020,3.0070,3.0080,3.0090,3.0100,3.0110,16646,4179,419,4229,242,6519,9477,4927,14798,6196
sh,510050,2019-10-31 09:30:07,3.0060,41,6413870.0000,21327,S,3.0060,3.0050,3.0040,3.0030,3.0020,3.0070,3.0090,3.0100,3.0110,3.0120,18001,4179,419,4229,242,28,4920,16858,7239,6221
sh,510050,2019-10-31 09:30:10,3.0070,3,91110.0000,303,S,3.0060,3.0050,3.0040,3.0030,3.0020,3.0070,3.0080,3.0090,3.0100,3.0110,18301,4479,1419,25,242,175,904,8182,16858,7239
sh,510050,2019-10-31 09:30:13,3.0070,6,66460.0000,221,S,3.0070,3.0060,3.0050,3.0040,3.0030,3.0080,3.0090,3.0100,3.0110,3.0120,132,12848,4279,7419,25,904,8232,16858,7239,3421
sh,510050,2019-10-31 09:30:16,3.0060,4,928860.0000,3090,S,3.0070,3.0060,3.0050,3.0040,3.0030,3.0080,3.0090,3.0100,3.0110,3.0120,10,1896,4179,4419,1025,1701,10832,16858,7239,3398
sh,510050,2019-10-31 09:30:19,3.0060,2,3610.0000,12,S,3.0060,3.0050,3.0040,3.0030,3.0020,3.0070,3.0080,3.0090,3.0100,3.0110,1894,1110,1619,2025,242,6026,5151,7932,16926,6839
sh,510050,2019-10-31 09:30:22,3.0050,8,619230.0000,2060,S,3.0050,3.0040,3.0030,3.0020,3.0010,3.0060,3.0070,3.0080,3.0090,3.0100,1040,1919,8825,6242,939,7021,14046,9351,4945,16926
sh,510050,2019-10-31 09:30:25,3.0050,8,654480.0000,2177,S,3.0050,3.0040,3.0030,3.0020,3.0010,3.0060,3.0070,3.0080,3.0090,3.0100,940,3185,8958,1242,939,9081,28486,10351,4926,17046
sh,510050,2019-10-31 09:30:28,3.0050,3,308320.0000,1026,S,3.0040,3.0030,3.0020,3.0010,3.0000,3.0050,3.0060,3.0070,3.0080,3.0090,1419,8225,4242,939,3396,3260,12029,28588,7502,4756
sh,510050,2019-10-31 09:30:31,3.0040,8,520620.0000,1733,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,8225,5975,1673,3396,3896,81,2988,12633,26393,6748
sh,510050,2019-10-31 09:30:34,3.0040,1,7220.0000,24,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,8526,9240,2673,3396,3896,107,2992,12728,16743,6748
sh,510050,2019-10-31 09:30:37,3.0030,6,62780.0000,209,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,2520,15240,2748,3396,3896,174,96,15855,10743,9748
sh,510050,2019-10-31 09:30:40,3.0030,12,725260.0000,2415,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,6370,9240,2748,3396,3896,3,1205,6865,19743,6748
sh,510050,2019-10-31 09:30:43,3.0040,5,119560.0000,398,S,3.0040,3.0030,3.0020,3.0010,3.0000,3.0050,3.0060,3.0070,3.0080,3.0090,123,6001,5507,2748,3446,4223,18900,7743,6781,4519
sh,510050,2019-10-31 09:30:46,3.0030,3,103010.0000,343,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,8780,8507,8748,4080,3896,5300,13223,19005,7708,6781
sh,510050,2019-10-31 09:30:49,3.0030,3,2611110.0000,8695,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,1,2507,14748,4080,3896,8290,28223,7348,1642,6981
sh,510050,2019-10-31 09:30:55,3.0030,9,583600.0000,1944,S,3.0020,3.0010,3.0000,2.9990,2.9980,3.0030,3.0040,3.0050,3.0060,3.0070,7512,8214,4080,4630,373,233,9408,19223,13348,1642
sh,510050,2019-10-31 09:30:58,3.0030,9,1211180.0000,4033,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,2995,7607,2114,4080,4630,7104,16246,4548,10642,6830
sh,510050,2019-10-31 09:31:01,3.0020,10,782320.0000,2605,S,3.0020,3.0010,3.0000,2.9990,2.9980,3.0040,3.0050,3.0060,3.0070,3.0080,10040,5114,5084,4630,373,104,16227,13048,4455,6830
sh,510050,2019-10-31 09:31:04,3.0030,2,31240.0000,104,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,2996,4040,8114,5084,5630,324,7228,6714,5455,6930
sh,510050,2019-10-31 09:31:07,3.0030,3,32740.0000,109,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,3687,12640,2114,5084,5630,824,1228,21714,5485,3980
sh,510050,2019-10-31 09:31:10,3.0020,12,3117250.0000,10381,S,3.0020,3.0010,3.0000,2.9990,2.9980,3.0030,3.0040,3.0050,3.0060,3.0070,2053,2114,10350,4896,473,1806,6824,1228,15714,5485
sh,510050,2019-10-31 09:31:13,3.0040,9,822920.0000,2740,S,3.0040,3.0020,3.0010,3.0000,2.9990,3.0050,3.0060,3.0070,3.0080,3.0090,5066,5053,5114,4417,4019,4328,12714,1384,10180,4225
sh,510050,2019-10-31 09:31:16,3.0020,5,2637290.0000,8783,S,3.0020,3.0010,3.0000,2.9990,2.9980,3.0030,3.0050,3.0060,3.0070,3.0080,11654,2089,4417,4019,473,3819,4339,21714,1384,4180
sh,510050,2019-10-31 09:31:19,3.0020,8,1247160.0000,4153,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0050,3.0060,3.0070,3.0080,3.0090,3051,14602,2139,4708,5019,6927,22714,4384,2680,4215
sh,510050,2019-10-31 09:31:22,3.0030,2,12910.0000,43,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0050,3.0060,3.0070,3.0080,3.0090,3458,4153,11339,4674,5019,15730,19714,4384,2680,4215
sh,510050,2019-10-31 09:31:25,3.0040,3,257520.0000,857,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,3508,4503,11539,4674,5019,1376,12137,25714,4384,2737
sh,510050,2019-10-31 09:31:28,3.0040,2,67570.0000,225,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,3398,4603,8539,5675,4019,1276,18303,12714,5384,2737
sh,510050,2019-10-31 09:31:31,3.0040,2,1810.0000,6,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,3398,4603,11539,5875,4019,1370,12300,18774,8384,2737
sh,510050,2019-10-31 09:31:34,3.0030,5,302760.0000,1008,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,2980,4603,5539,11885,4019,897,18335,12774,5455,2737
sh,510050,2019-10-31 09:31:37,3.0040,4,378680.0000,1261,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,1519,13603,2539,6654,4753,1165,12401,18774,8455,2737
sh,510050,2019-10-31 09:31:40,3.0030,2,6010.0000,20,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,1509,7603,8539,6654,4743,1489,9598,12774,5655,2737
sh,510050,2019-10-31 09:31:43,3.0050,9,474340.0000,1579,S,3.0040,3.0030,3.0020,3.0010,3.0000,3.0050,3.0060,3.0070,3.0080,3.0090,410,1562,4603,8539,6654,9548,12774,8655,2737,4246
sh,510050,2019-10-31 09:31:46,3.0040,3,296500.0000,987,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,4612,3586,12539,5786,4743,5063,3698,24774,1655,3737
sh,510050,2019-10-31 09:31:49,3.0040,3,131570.0000,438,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,1612,656,15539,5836,4743,4751,10823,18774,1655,3737
sh,510050,2019-10-31 09:31:52,3.0030,12,484090.0000,1612,S,3.0020,3.0010,3.0000,2.9990,2.9980,3.0030,3.0040,3.0050,3.0060,3.0070,656,12639,8836,4743,813,7627,10624,19910,6774,1655
sh,510050,2019-10-31 09:31:55,3.0030,1,3000.0000,10,S,3.0020,3.0010,3.0000,2.9990,2.9980,3.0030,3.0040,3.0050,3.0060,3.0070,756,15639,5836,4736,813,7617,10634,20013,6774,1655
sh,510050,2019-10-31 09:31:58,3.0040,10,2323640.0000,7738,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,3100,7456,8639,5836,5736,4514,11425,7809,16655,1737
sh,510050,2019-10-31 09:32:01,3.0040,2,54670.0000,182,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,3100,7556,8639,5840,5736,1447,11425,19809,4655,1737
sh,510050,2019-10-31 09:32:04,3.0040,3,349350.0000,1163,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,5865,12456,2639,5840,5736,419,5437,10809,4655,1737
sh,510050,2019-10-31 09:32:10,3.0030,1,15020.0000,50,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,6124,656,14239,5840,4736,669,8776,15809,4655,1737
sh,510050,2019-10-31 09:32:13,3.0030,2,213210.0000,710,S,3.0030,3.0020,3.0010,3.0000,2.9990,3.0040,3.0050,3.0060,3.0070,3.0080,2654,389,8239,21840,4736,3719,8776,21809,2655,1737
sh,510050,2019-10-31 09:32:19,3.0030,7,872070.0000,2904,S,3.0020,3.0010,3.0000,2.9990,2.9980,3.0030,3.0040,3.0050,3.0060,3.0070,391,2143,15940,13736,843,18699,33267,2776,3809,2655
sh,510050,2019-10-31 09:32:22,3.0020,8,129390.0000,431,S,3.0010,3.0000,2.9990,2.9980,2.9970,3.0020,3.0030,3.0040,3.0050,3.0060,2143,15940,13736,843,283,2609,18738,43264,2776,3809
