市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
sz,000001,2022-12-30 09:25:00,13.04,153,4067176,3119,-,13.03,13.02,13.01,13.00,12.99,13.04,13.05,13.06,13.07,13.08,553,350,13,698,5,7473,51,37,5,551
sz,000001,2022-12-30 09:30:00,13.04,89,3866229,2965,-,13.03,13.02,13.01,13.00,12.99,13.04,13.05,13.06,13.07,13.08,1515,350,16,703,105,4639,30,37,5,580
sz,000001,2022-12-30 09:30:03,13.05,182,13458180,10320,-,13.05,13.04,13.03,13.02,13.01,13.07,13.08,13.09,13.10,13.11,344,11628,702,808,589,24,626,403,304,586
sz,000001,2022-12-30 09:30:06,13.07,33,976659,747,-,13.07,13.06,13.05,13.04,13.03,13.08,13.09,13.10,13.11,13.12,2055,1080,643,7248,598,285,459,404,611,1149
sz,000001,2022-12-30 09:30:09,13.08,44,940335,719,-,13.08,13.07,13.06,13.05,13.04,13.09,13.10,13.11,13.12,13.13,1985,1903,580,643,7158,459,414,611,1149,506
sz,000001,2022-12-30 09:30:12,13.1,98,1882034,1438,-,13.09,13.08,13.07,13.06,13.05,13.10,13.11,13.12,13.13,13.14,2835,960,592,329,637,152,611,1149,506,370
sz,000001,2022-12-30 09:30:15,13.1,59,1559511,1190,-,13.10,13.09,13.08,13.07,13.06,13.12,13.13,13.14,13.15,13.16,823,1352,665,593,329,1196,506,370,3075,6328
sz,000001,2022-12-30 09:30:18,13.11,166,2216341,1691,-,13.11,13.10,13.09,13.08,13.07,13.12,13.13,13.14,13.15,13.16,23,16,1253,665,592,897,506,370,3075,6328
sz,000001,2022-12-30 09:30:21,13.1,61,866343,661,-,13.10,13.09,13.08,13.07,13.06,13.11,13.12,13.13,13.14,13.15,758,1150,666,412,434,173,942,506,370,3069
sz,000001,2022-12-30 09:30:24,13.11,63,1506999,1149,-,13.11,13.10,13.09,13.08,13.07,13.12,13.13,13.14,13.15,13.16,300,197,1150,576,353,276,513,370,3069,6328
sz,000001,2022-12-30 09:30:27,13.12,60,935193,713,-,13.11,13.10,13.09,13.08,13.07,13.12,13.13,13.14,13.15,13.16,251,198,691,572,353,77,513,395,3071,6337
sz,000001,2022-12-30 09:30:30,13.12,63,695426,530,-,13.12,13.11,13.10,13.09,13.08,13.13,13.14,13.15,13.16,13.17,96,61,208,691,572,342,435,3072,6337,180
sz,000001,2022-12-30 09:30:33,13.12,58,384271,293,-,13.10,13.09,13.08,13.07,13.06,13.12,13.13,13.14,13.15,13.16,181,700,572,353,434,326,363,465,3124,6337
sz,000001,2022-12-30 09:30:36,13.1,26,565004,431,-,13.10,13.09,13.08,13.07,13.06,13.11,13.12,13.13,13.14,13.15,114,698,570,348,454,3,165,394,1465,3124
sz,000001,2022-12-30 09:30:39,13.11,19,218964,167,-,13.11,13.09,13.08,13.07,13.06,13.12,13.13,13.14,13.15,13.16,32,700,436,347,454,288,869,1480,3302,6337
sz,000001,2022-12-30 09:30:42,13.11,46,480345,366,-,13.11,13.10,13.09,13.08,13.07,13.12,13.13,13.14,13.15,13.16,88,93,706,436,347,400,869,1482,3302,6342
sz,000001,2022-12-30 09:30:45,13.1,34,561756,429,-,13.10,13.09,13.08,13.07,13.06,13.11,13.12,13.13,13.14,13.15,200,706,436,351,454,45,568,846,1492,3329
sz,000001,2022-12-30 09:30:48,13.1,20,220124,168,-,13.10,13.09,13.08,13.07,13.06,13.11,13.12,13.13,13.14,13.15,160,706,436,351,454,117,634,926,1492,3343
sz,000001,2022-12-30 09:30:51,13.11,22,169042,129,-,13.10,13.09,13.08,13.07,13.06,13.11,13.12,13.13,13.14,13.15,87,771,435,351,454,149,611,1036,1508,3363
